time,msenconds,signal,signal_copy
00:03:12.084032,16.180,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:12.184950,16.281,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:12.285829,16.382,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:12.385499,16.481,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:12.486470,16.582,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:12.587165,16.683,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:12.686396,16.782,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:12.786640,16.882,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:12.887681,16.984,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:12.986862,17.083,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:13.087387,17.183,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:13.187597,17.283,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:13.286667,17.383,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:13.388348,17.484,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:13.487007,17.583,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:13.588784,17.685,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:13.688420,17.784,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:13.788443,17.884,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:13.888685,17.985,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:13.990471,18.086,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:14.089141,18.185,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:14.189444,18.285,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:14.289580,18.385,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:14.389765,18.486,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:14.489346,18.585,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:14.590490,18.686,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:14.690621,18.786,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:14.790436,18.886,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:14.890069,18.986,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:14.991175,19.087,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:15.090709,19.187,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:15.192849,19.289,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:15.292707,19.389,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:15.391878,19.488,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:15.490977,19.587,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:15.591823,19.688,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:15.691965,19.788,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:15.792092,19.888,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:15.892624,19.988,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:15.992744,20.089,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:16.092261,20.188,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:16.192021,20.288,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:16.293395,20.389,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:16.393190,20.489,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:16.494054,20.590,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:16.593992,20.690,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:16.693920,20.790,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:16.793930,20.890,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:16.895741,20.992,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:16.994688,21.091,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:17.096441,21.192,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:17.195465,21.291,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:17.297182,21.393,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:17.397318,21.493,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
